source_file,scene_id,label
A_Belfast_Story__2013__-_full_transcript_txt.json,1,neutral
A_Belfast_Story__2013__-_full_transcript_txt.json,2,neutral
A_Belfast_Story__2013__-_full_transcript_txt.json,3,neutral
A_Belfast_Story__2013__-_full_transcript_txt.json,4,admiration
A_Belfast_Story__2013__-_full_transcript_txt.json,5,curiosity
A_Belfast_Story__2013__-_full_transcript_txt.json,6,curiosity
A_Belfast_Story__2013__-_full_transcript_txt.json,7,curiosity
A_Belfast_Story__2013__-_full_transcript_txt.json,8,curiosity
A_Belfast_Story__2013__-_full_transcript_txt.json,9,curiosity
A_Belfast_Story__2013__-_full_transcript_txt.json,10,curiosity
A_Belfast_Story__2013__-_full_transcript_txt.json,11,neutral
A_Belfast_Story__2013__-_full_transcript_txt.json,12,caring
A_Belfast_Story__2013__-_full_transcript_txt.json,13,surprise
A_Belfast_Story__2013__-_full_transcript_txt.json,14,desire
A_Beautiful_Mind__2001__-_full_transcript_txt.json,1,gratitude
A_Beautiful_Mind__2001__-_full_transcript_txt.json,2,admiration
A_Beautiful_Mind__2001__-_full_transcript_txt.json,3,admiration
A_Beautiful_Mind__2001__-_full_transcript_txt.json,4,admiration
A_Beautiful_Mind__2001__-_full_transcript_txt.json,5,neutral
A_Beautiful_Mind__2001__-_full_transcript_txt.json,6,admiration
A_Beautiful_Mind__2001__-_full_transcript_txt.json,7,gratitude
A_Beautiful_Mind__2001__-_full_transcript_txt.json,8,confusion
A_Beautiful_Mind__2001__-_full_transcript_txt.json,9,neutral
A_Beautiful_Mind__2001__-_full_transcript_txt.json,10,curiosity
A_Beautiful_Mind__2001__-_full_transcript_txt.json,11,admiration
A_Beautiful_Mind__2001__-_full_transcript_txt.json,12,curiosity
A_Beautiful_Mind__2001__-_full_transcript_txt.json,13,approval
A_Beautiful_Mind__2001__-_full_transcript_txt.json,14,curiosity
A_Beautiful_Mind__2001__-_full_transcript_txt.json,15,neutral
A_Beautiful_Mind__2001__-_full_transcript_txt.json,16,neutral
A_Beautiful_Mind__2001__-_full_transcript_txt.json,17,anger
A_Beautiful_Mind__2001__-_full_transcript_txt.json,18,neutral
A_Beautiful_Mind__2001__-_full_transcript_txt.json,19,curiosity
A_Beautiful_Mind__2001__-_full_transcript_txt.json,20,gratitude
A_Beautiful_Mind__2001__-_full_transcript_txt.json,21,curiosity
A_Beautiful_Mind__2001__-_full_transcript_txt.json,22,gratitude
About_Time__2013__-_full_transcript_txt.json,1,admiration
About_Time__2013__-_full_transcript_txt.json,2,curiosity
About_Time__2013__-_full_transcript_txt.json,3,curiosity
About_Time__2013__-_full_transcript_txt.json,4,love
About_Time__2013__-_full_transcript_txt.json,5,admiration
About_Time__2013__-_full_transcript_txt.json,6,gratitude
About_Time__2013__-_full_transcript_txt.json,7,admiration
About_Time__2013__-_full_transcript_txt.json,8,gratitude
About_Time__2013__-_full_transcript_txt.json,9,curiosity
About_Time__2013__-_full_transcript_txt.json,10,gratitude
About_Time__2013__-_full_transcript_txt.json,11,admiration
About_Time__2013__-_full_transcript_txt.json,12,curiosity
About_Time__2013__-_full_transcript_txt.json,13,admiration
About_Time__2013__-_full_transcript_txt.json,14,admiration
About_Time__2013__-_full_transcript_txt.json,15,admiration
About_Time__2013__-_full_transcript_txt.json,16,admiration
About_Time__2013__-_full_transcript_txt.json,17,love
About_Time__2013__-_full_transcript_txt.json,18,caring
About_Time__2013__-_full_transcript_txt.json,19,admiration
About_Time__2013__-_full_transcript_txt.json,20,curiosity
About_Time__2013__-_full_transcript_txt.json,21,gratitude
About_Time__2013__-_full_transcript_txt.json,22,curiosity
About_Time__2013__-_full_transcript_txt.json,23,gratitude
About_Time__2013__-_full_transcript_txt.json,24,gratitude
About_Time__2013__-_full_transcript_txt.json,25,gratitude
A_Clockwork_Orange__1971__-_full_transcript_txt.json,1,anger
A_Clockwork_Orange__1971__-_full_transcript_txt.json,2,curiosity
A_Clockwork_Orange__1971__-_full_transcript_txt.json,3,curiosity
A_Clockwork_Orange__1971__-_full_transcript_txt.json,4,excitement
A_Clockwork_Orange__1971__-_full_transcript_txt.json,5,curiosity
A_Clockwork_Orange__1971__-_full_transcript_txt.json,6,remorse
A_Clockwork_Orange__1971__-_full_transcript_txt.json,7,anger
A_Clockwork_Orange__1971__-_full_transcript_txt.json,8,gratitude
A_Clockwork_Orange__1971__-_full_transcript_txt.json,9,neutral
A_Clockwork_Orange__1971__-_full_transcript_txt.json,10,anger
A_Clockwork_Orange__1971__-_full_transcript_txt.json,11,neutral
A_Clockwork_Orange__1971__-_full_transcript_txt.json,12,gratitude
A_Clockwork_Orange__1971__-_full_transcript_txt.json,13,curiosity
A_Clockwork_Orange__1971__-_full_transcript_txt.json,14,neutral
A_Clockwork_Orange__1971__-_full_transcript_txt.json,15,disapproval
A_Clockwork_Orange__1971__-_full_transcript_txt.json,16,neutral
A_Clockwork_Orange__1971__-_full_transcript_txt.json,17,gratitude
A_Clockwork_Orange__1971__-_full_transcript_txt.json,18,surprise
A_Clockwork_Orange__1971__-_full_transcript_txt.json,19,gratitude
A_Clockwork_Orange__1971__-_full_transcript_txt.json,20,fear
A_Clockwork_Orange__1971__-_full_transcript_txt.json,21,gratitude
