source_file,scene_id,label
a_belfast_story__2013__-_full_transcript_txt.json,1,neutral
a_belfast_story__2013__-_full_transcript_txt.json,2,neutral
a_belfast_story__2013__-_full_transcript_txt.json,3,neutral
a_belfast_story__2013__-_full_transcript_txt.json,4,admiration
a_belfast_story__2013__-_full_transcript_txt.json,5,curiosity
a_belfast_story__2013__-_full_transcript_txt.json,6,curiosity
a_belfast_story__2013__-_full_transcript_txt.json,7,curiosity
a_belfast_story__2013__-_full_transcript_txt.json,8,curiosity
a_belfast_story__2013__-_full_transcript_txt.json,9,curiosity
a_belfast_story__2013__-_full_transcript_txt.json,10,curiosity
a_belfast_story__2013__-_full_transcript_txt.json,11,neutral
a_belfast_story__2013__-_full_transcript_txt.json,12,caring
a_belfast_story__2013__-_full_transcript_txt.json,13,surprise
a_belfast_story__2013__-_full_transcript_txt.json,14,desire
a_beautiful_mind__2001__-_full_transcript_txt.json,1,gratitude
a_beautiful_mind__2001__-_full_transcript_txt.json,2,admiration
a_beautiful_mind__2001__-_full_transcript_txt.json,3,admiration
a_beautiful_mind__2001__-_full_transcript_txt.json,4,admiration
a_beautiful_mind__2001__-_full_transcript_txt.json,5,neutral
a_beautiful_mind__2001__-_full_transcript_txt.json,6,admiration
a_beautiful_mind__2001__-_full_transcript_txt.json,7,gratitude
a_beautiful_mind__2001__-_full_transcript_txt.json,8,confusion
a_beautiful_mind__2001__-_full_transcript_txt.json,9,neutral
a_beautiful_mind__2001__-_full_transcript_txt.json,10,curiosity
a_beautiful_mind__2001__-_full_transcript_txt.json,11,admiration
a_beautiful_mind__2001__-_full_transcript_txt.json,12,curiosity
a_beautiful_mind__2001__-_full_transcript_txt.json,13,approval
a_beautiful_mind__2001__-_full_transcript_txt.json,14,curiosity
a_beautiful_mind__2001__-_full_transcript_txt.json,15,neutral
a_beautiful_mind__2001__-_full_transcript_txt.json,16,neutral
a_beautiful_mind__2001__-_full_transcript_txt.json,17,anger
a_beautiful_mind__2001__-_full_transcript_txt.json,18,neutral
a_beautiful_mind__2001__-_full_transcript_txt.json,19,curiosity
a_beautiful_mind__2001__-_full_transcript_txt.json,20,gratitude
a_beautiful_mind__2001__-_full_transcript_txt.json,21,curiosity
a_beautiful_mind__2001__-_full_transcript_txt.json,22,gratitude
about_time__2013__-_full_transcript_txt.json,1,admiration
about_time__2013__-_full_transcript_txt.json,2,curiosity
about_time__2013__-_full_transcript_txt.json,3,curiosity
about_time__2013__-_full_transcript_txt.json,4,love
about_time__2013__-_full_transcript_txt.json,5,admiration
about_time__2013__-_full_transcript_txt.json,6,gratitude
about_time__2013__-_full_transcript_txt.json,7,admiration
about_time__2013__-_full_transcript_txt.json,8,gratitude
about_time__2013__-_full_transcript_txt.json,9,curiosity
about_time__2013__-_full_transcript_txt.json,10,gratitude
about_time__2013__-_full_transcript_txt.json,11,admiration
about_time__2013__-_full_transcript_txt.json,12,curiosity
about_time__2013__-_full_transcript_txt.json,13,admiration
about_time__2013__-_full_transcript_txt.json,14,admiration
about_time__2013__-_full_transcript_txt.json,15,admiration
about_time__2013__-_full_transcript_txt.json,16,admiration
about_time__2013__-_full_transcript_txt.json,17,love
about_time__2013__-_full_transcript_txt.json,18,caring
about_time__2013__-_full_transcript_txt.json,19,admiration
about_time__2013__-_full_transcript_txt.json,20,curiosity
about_time__2013__-_full_transcript_txt.json,21,gratitude
about_time__2013__-_full_transcript_txt.json,22,curiosity
about_time__2013__-_full_transcript_txt.json,23,gratitude
about_time__2013__-_full_transcript_txt.json,24,gratitude
about_time__2013__-_full_transcript_txt.json,25,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,1,anger
a_clockwork_orange__1971__-_full_transcript_txt.json,2,curiosity
a_clockwork_orange__1971__-_full_transcript_txt.json,3,curiosity
a_clockwork_orange__1971__-_full_transcript_txt.json,4,excitement
a_clockwork_orange__1971__-_full_transcript_txt.json,5,curiosity
a_clockwork_orange__1971__-_full_transcript_txt.json,6,remorse
a_clockwork_orange__1971__-_full_transcript_txt.json,7,anger
a_clockwork_orange__1971__-_full_transcript_txt.json,8,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,9,neutral
a_clockwork_orange__1971__-_full_transcript_txt.json,10,anger
a_clockwork_orange__1971__-_full_transcript_txt.json,11,neutral
a_clockwork_orange__1971__-_full_transcript_txt.json,12,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,13,curiosity
a_clockwork_orange__1971__-_full_transcript_txt.json,14,neutral
a_clockwork_orange__1971__-_full_transcript_txt.json,15,disapproval
a_clockwork_orange__1971__-_full_transcript_txt.json,16,neutral
a_clockwork_orange__1971__-_full_transcript_txt.json,17,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,18,surprise
a_clockwork_orange__1971__-_full_transcript_txt.json,19,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,20,fear
a_clockwork_orange__1971__-_full_transcript_txt.json,21,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,22,gratitude
a_clockwork_orange__1971__-_full_transcript_txt.json,23,curiosity
a_clockwork_orange__1971__-_full_transcript_txt.json,24,admiration
a_clockwork_orange__1971__-_full_transcript_txt.json,25,caring
a_clockwork_orange__1971__-_full_transcript_txt.json,26,curiosity
